         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:182(create_earley_parser__dynamic)
      339    0.003    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_parser.py:116(feed_token)
      322    0.001    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:151(step)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:144(create_basic_lexer)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.9/site-packages/lark/lexer.py:373(__init__)
     2385    0.003    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:159(__new__)
    46645    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
      502    0.000    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:425(match)
     1020    0.001    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:100(_call_userfunc)
      786    0.000    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:257(_transform_tree)
     2080    0.002    0.000    0.004    0.000 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:463(_get_sheet)
1265/1246    0.001    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:321(_call_userfunc)
     5600    0.003    0.000    0.004    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:493(__init__)
     2080    0.003    0.000    0.003    0.000 /Users/tbarrett/dev/spreadsheet/sheets/utils.py:91(column_to_number)
        1    0.001    0.001    0.003    0.003 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:238(compute_lookaheads)
        1    0.001    0.001    0.003    0.003 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:209(compute_includes_lookback)
      400    0.001    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley.py:271(<listcomp>)
       44    0.000    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:1190(_unpack_definition)
     4045    0.002    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:112(<listcomp>)
       18    0.000    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:243(transform)
       44    0.000    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:1019(_mangle_definition_tree)
     3223    0.002    0.000    0.003    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:48(vertices)
     5600    0.003    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:69(load_paths)
        2    0.000    0.000    0.003    0.001 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:844(resolve_term_references)
    16800    0.003    0.000    0.003    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:162(__init__)
      502    0.000    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:419(scanner)
     1200    0.002    0.000    0.003    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:585(transform_intermediate_node)
      880    0.002    0.000    0.003    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:78(visit)
       44    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/utils.py:120(get_regexp_width)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/lexer.py:406(_build_scanner)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/lexer.py:281(__init__)
